ID,Name,URL,Type,Feature Type,Output Format,Version,Visible
721,EigentÃ¼merquote,https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
722,Durchschnittliche WohnungsgrÃ¶ÃŸe in mÂ²,https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
723,Anteil der WohngebÃ¤ude im Besitz einer oder mehrerer Privatperson (en),https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
724,Anteil der WohngebÃ¤ude mit einer oder zwei Wohnung (en),https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
725,Anteil der freistehenden Ein- und MehrfamilienhÃ¤user,https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
726,Anteil der WohngebÃ¤ude mit Baujahr 1990 und spÃ¤ter,https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
727,Anteil der Personen im Dienstleistungsbetrieb,https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
728,Anteil der SelbststÃ¤ndigen insgesamt,https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
729,Erwerbslosenquote,https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
730,Anteil der Personen ab 15 Jahre mit Hochschulabschluss,https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
731,Anteil der Personen ab 15 Jahre mit Hochschul- / Fachhochschulreife,https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
732,Anteil der BevÃ¶lkerung mit Migrationshintergrund,https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
733,Anteil der Ledigen,https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
734,BevÃ¶lkerungsdichte (Einwohner je kmÂ²),https://geodienste.hamburg.de/HH_WMS_Zensus_2011,WMS,,,1.3.0,Yes
753,KindertagesstÃ¤tten,https://geodienste.hamburg.de/HH_WFS_KitaEinrichtung,WFS,KitaEinrichtungen,XML,1.1.0,Yes
763,wohnenbaugenehmigungen,https://geodienste.hamburg.de/HH_WFS_Baugenehmigungen,WFS,wohnenbaugenehmigungen,XML,1.1.0,Yes
936,Hafengebietsgrenzen,https://geodienste.hamburg.de/HH_WMS_Hafengebietsgrenzen,WMS,,,1.3.0,Yes
937,Elektro Ladestandorte Hamburg,https://geodienste.hamburg.de/HH_WMS_EMobility,WMS,,,1.3.0,Yes
938,Baustellen auf Hauptverkehrs- und BundesfernstraÃŸen Hamburg,https://geodienste.hamburg.de/HH_WMS_Baustellen,WMS,,,1.3.0,Yes
939,Verkehrskameras,https://geodienste.hamburg.de/wms_verkehrskameras,WMS,,,1.3.0,Yes
940,MotorradstellplÃ¤tze,https://geodienste.hamburg.de/wms_motorradstellplaetze,WMS,,,1.3.0,Yes
941,BehindertenstellplÃ¤tze,https://geodienste.hamburg.de/wms_behindertenstellplaetze,WMS,,,1.3.0,Yes
942,P + R,https://geodienste.hamburg.de/HH_WMS_P_und_R,WMS,,,1.3.0,Yes
944,ReisebusparkplÃ¤tze,https://geodienste.hamburg.de/wms_reisebusparkplaetze,WMS,,,1.3.0,Yes
945,ParkhÃ¤user,https://geodienste.hamburg.de/wms_parkhaeuser,WMS,,,1.3.0,Yes
946,Verkehrslage auf Autobahnen,https://geodienste.hamburg.de/wms_verkehrslage_autobahnen_schleifen,WMS,,,1.3.0,Yes
947,Hamburger Autobahnabschnitte ohne Verkehrslagedaten,https://geodienste.hamburg.de/wms_verkehrslage_autobahnen_schleifen,WMS,,,1.3.0,Yes
1037,Statistische Gebiete Hamburg,https://geodienste.hamburg.de/HH_WMS_Statistische_Gebiete,WMS,,,1.3.0,Yes
1043,M100000 (grau-blau),https://geodienste.hamburg.de/HH_WMS_Geobasiskarten_GB,WMS,,,1.3.0,Yes
1044,M60000 (grau-blau),https://geodienste.hamburg.de/HH_WMS_Geobasiskarten_GB,WMS,,,1.3.0,Yes
1045,M20000 (grau-blau),https://geodienste.hamburg.de/HH_WMS_Geobasiskarten_GB,WMS,,,1.3.0,Yes
1046,M5000 (grau-blau),https://geodienste.hamburg.de/HH_WMS_Geobasiskarten_GB,WMS,,,1.3.0,Yes
1047,GroÃŸraum- und Schwertransport-Netz (GST-Netz),https://geodienste.hamburg.de/HH_WMS_Grossraum_und_Schwertransport_Routen,WMS,,,1.3.0,Yes
1102,Blattschnitte,https://geodienste.hamburg.de/HH_WMS_UESG,WMS,,,1.3.0,Yes
1103,Ãœberschwemmungsgebiete,https://geodienste.hamburg.de/HH_WMS_UESG,WMS,,,1.3.0,Yes
1111,Bauwerksinformation,https://geodienste.hamburg.de/HH_WMS_Gewaesserbauwerke,WMS,,,1.3.0,Yes
