ID;Name;URL;Type;Feature Type;Output Format;Version;Visible;description
3302;Trinkwasser;https://geodienste.hamburg.de/HH_WMS_Trinkwasserdaten;WMS;;;1.3.0;Yes;Trinkwasser, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3312;hhsib_filternetz;https://geodienste.hamburg.de/HH_WMS_Verkehrsmodell;WMS;;;1.3.0;Yes;hhsib_filternetz, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3313;hva_here;https://geodienste.hamburg.de/HH_WMS_Verkehrsmodell;WMS;;;1.3.0;Yes;hva_here, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3314;hva_zellen;https://geodienste.hamburg.de/HH_WMS_Verkehrsmodell;WMS;;;1.3.0;Yes;hva_zellen, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3315;modellraum_bi;https://geodienste.hamburg.de/HH_WMS_Verkehrsmodell;WMS;;;1.3.0;Yes;modellraum_bi, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3316;modellraum_eur;https://geodienste.hamburg.de/HH_WMS_Verkehrsmodell;WMS;;;1.3.0;Yes;modellraum_eur, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3317;modellraum_ur;https://geodienste.hamburg.de/HH_WMS_Verkehrsmodell;WMS;;;1.3.0;Yes;modellraum_ur, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3318;Pflanzstandorte 2011;https://geodienste.hamburg.de/HH_WMS_Pflanzstandorte;WMS;;;1.3.0;Yes;Pflanzstandorte 2011, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3319;Pflanzstandorte 2012;https://geodienste.hamburg.de/HH_WMS_Pflanzstandorte;WMS;;;1.3.0;Yes;Pflanzstandorte 2012, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3320;Pflanzstandorte 2013;https://geodienste.hamburg.de/HH_WMS_Pflanzstandorte;WMS;;;1.3.0;Yes;Pflanzstandorte 2013, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3321;Pflanzstandorte 2014;https://geodienste.hamburg.de/HH_WMS_Pflanzstandorte;WMS;;;1.3.0;Yes;Pflanzstandorte 2014, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3322;Pflanzstandorte aktuell;https://geodienste.hamburg.de/HH_WMS_Pflanzstandorte;WMS;;;1.3.0;Yes;Pflanzstandorte aktuell, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3323;Pflanzstandorte aktuell gepflanzt / ausgespendet;https://geodienste.hamburg.de/HH_WMS_Pflanzstandorte;WMS;;;1.3.0;Yes;Pflanzstandorte aktuell gepflanzt / ausgespendet, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
